Gene	Temps (h)	Alginate 1	Alginate 2	Alginate 3	Alginate 4	Maltose 1	Maltose 2	Maltose 3	Maltose 4
C	C	1	1	1	1	2	2	2	2
R	R	1	2	3	4	1	2	3	4
2619	44,5	3,63751921349521	1,04675575738897	18,1594473921241	6,55459652642895	5,07735129960357	0,572733363378544	0,989324657348484	2,71263469472571
2618	0	0,013065351751795	0,010429334865608	0,008655702882321	0,014025766186052	0,013065351751795	0,010429334865608	0,008655702882321	0,014025766186052
2618	0,5	13,3376125600067	9,95409564718737	7,72583908386052	8,74835418519649	0,089468880736083	0,086448219794253	0,134100442795384	0,132519430823736
2618	1	31,934069316288	14,7922034777967	16,6343609074971	16,7133788451626	0,053132372020329	0,050776442371511	0,10275927805518	0,089939051454439
2618	3,5	15,8176616281839	6,79002324869948	9,99926274791291	11,9289236016537	0,099718461486838	0,058130922116872	0,060334414202175	0,067544365118367
2618	6,5	8,05658292646322	2,3834301647669	NA	4,53452362815208	0,076279163097957	0,180460870004563	0,017859277435605	0,023842650381718
2618	9,25	2,79430553399163	1,54114198566788	2,15367078585259	2,63905436330869	0,033200598785614	0,016145407476757	0,030748837594803	0,030168858798523
2618	12,5	2,2138219866075	1,71055727155549	2,02515739318834	1,79994822544118	0,023030018514404	0,018079550080468	0,016057721089397	0,021212890739583
2618	18,5	1,41968391790684	1,20581366611504	1,24808239617307	1,10925336479505	0,014105141269836	0,009926389919813	0,008851472414281	0,019700634292678
2618	22,5	0,542145563939961	0,512178265662624	0,645077748678385	0,80427321993516	0,016391253398301	0,010391015776185	0,01388775159666	0,01456322329348
2618	26,5	0,523898232067421	0,656025899314666	0,850881938233439	0,601300844214338	0,009925096227322	0,009316380450234	0,010337627657356	0,008903145229606
2618	30,5	0,782302720187769	0,678835655984914	1,28224563507612	0,488093789205924	0,032197005898178	0,08527737071762	0,042635206813083	0,261306463205564
2618	44,5	0,876670130950141	0,785906461697385	1,68728468683906	0,7648114119716	0,400511562142642	0,028508672270944	0,094006032747236	0,236430279171117
2617	0	0,658521750492601	0,874142935446381	1,18224234490245	0,649403016728879	0,658521750492601	0,874142935446381	1,18224234490245	0,649403016728879
2617	0,5	10,1603278925705	11,409966779259	12,5866795074561	8,80252356095622	0,38957709485869	0,967165476670852	0,552095866890087	0,753449718986017
2617	1	42,6493472168461	28,5523927594681	24,9515413612457	21,4374665391525	0,575220637001199	1,07509065666367	0,573556130856116	0,658388784433464
2617	3,5	5,43180106165807	9,04810074768559	15,6407386901476	13,501104636468	0,395024885524294	0,688470833264199	0,70833971780864	0,486816803128212
2617	6,5	4,73591086648819	4,14981017107885	NA	5,52603754101332	0,584133713336696	1,28254907611258	0,325173636327532	0,194472546216929
2617	9,25	1,80083830008272	2,90949311391545	4,31224882499109	3,66465842867036	0,307432736944826	1,39195779322142	0,352401177564952	0,368485146349756
2617	12,5	1,7701825608328	2,22171989371953	2,82419908573884	2,42559867813463	0,245678536269295	1,35944066293388	0,27936035319909	0,401316907671608
2617	18,5	1,1183904970846	1,95702172017751	2,16110911552116	1,40776447971895	0,377723568360944	0,298484236426014	0,494010308460304	0,209419707236306
2617	22,5	1,39834956135971	1,2736528489621	1,73933922951193	1,50306798479686	0,346790154542573	0,458847260219867	0,844849318128561	0,495185025611645
2617	26,5	0,860817149494872	1,0742108569368	1,30890591373765	1,1111474086694	0,625817554009218	0,512896476914482	0,605908901809685	0,660822397034115
2617	30,5	1,40991519344186	1,4203420757234	2,09885193383733	1,27955950459132	0,688383096847772	0,163385026582541	0,737656752797786	0,950718252094738
2617	44,5	2,57604579710088	0,916890871980283	6,01761444957634	2,29573604257348	3,63719161420877	0,63862619436426	1,56838243638429	4,17998283617445
2616	0	0,015955141348371	0,013201342290415	0,013311337680387	0,018210063974253	0,015955141348371	0,013201342290415	0,013311337680387	0,018210063974253
2616	0,5	21,1353441614068	18,2153178849891	15,1458637039849	14,6257314551273	0,216204720455935	0,252406600009222	0,316824557116367	0,398263183060696
2616	1	59,4916746679211	40,019217160861	33,1074468477471	27,6964563719838	0,17900820616291	0,195213829762614	0,243160323740198	0,277501267497288
2616	3,5	37,3561780330586	17,8277587157714	20,0097859268482	20,5267886357945	0,229418298900648	0,205393089849665	0,314606308607812	0,215607056421603
2616	6,5	13,9072908416573	6,32821408511312	NA	7,31076258416356	0,153257422395386	0,316173772243437	0,097425728086215	0,113426507850427
2616	9,25	5,66877557100761	3,78615261112142	4,04234989426618	4,48180638318616	0,093218093130968	0,113300152669777	0,131780732549157	0,106129242525454
2616	12,5	4,74702935863466	3,68504818462051	3,94010213912834	3,95122324354868	0,130903525432037	0,098799497993893	0,076989073716285	0,114704535600274
2616	18,5	4,48602316379339	2,91058471131216	2,44032217954198	2,34511261101696	0,088438370415781	0,181676020160304	0,074083370761008	0,148335238259917
2616	22,5	3,40961018098163	2,07180863431168	2,20599121791757	2,2051589513796	0,04122648581997	0,03927875379314	0,052861336374632	0,051378768310332
2616	26,5	2,64264098024491	2,08952242406766	1,74272537021116	2,09196142347898	0,039002945714934	0,027833512515327	0,026936531372164	0,043977012237406
2616	30,5	3,09380493867361	2,41604579891093	2,54711666805093	2,35904243210108	0,080915206120703	0,47264872175261	0,127341662677171	0,667195449912183
2616	44,5	0,906197928624419	1,39604751814336	4,57845986374302	2,12650117694572	1,22886618410695	NA	0,386846131322387	0,542817215530988
2615	0	0,025167440304731	0,028790453352692	0,03358946060752	0,042512465528128	0,025167440304731	0,028790453352692	0,03358946060752	0,042512465528128
2615	0,5	25,6626838523689	20,0097636989379	18,1557218470722	16,7789641415766	0,223953993590556	0,254071734258871	0,365868606205588	0,560779624525975
2615	1	66,0704882405958	39,3025406357739	36,4481425978677	34,4500257828863	0,237727458502973	0,294086433090131	0,361992911330746	0,424721889586786
2615	3,5	34,1846164375598	15,6012627202676	24,3675727325265	22,7081898215994	0,259804828556363	0,241113627214825	0,486175166143632	0,361769402613833
2615	6,5	16,6428921101129	6,60421096109936	NA	8,15024436371941	0,257112046694742	0,461039667888928	0,160059561922878	0,167910442343397
2615	9,25	7,20907923626119	5,08208404177372	5,75375447772637	5,75755778156288	0,188840091242391	0,192181380187356	0,170449559307139	0,187968827463808
2615	12,5	6,40520827745728	5,395605456176	5,97559196799621	5,41909545948333	0,157534328600159	0,190713353224785	0,153978147432569	0,204382627069579
